hierarchy,title,field,subsection title,subsection content,record_id
TC,Random Policy Gating of Acode Features Per Thread,description,Validation Automation Global Checkers *,"Enable SST, Central, and Concurrency checkers. PVT checkers for policy update and feature gating.",1.1.1.1
TC,Random Policy Gating of Acode Features Per Thread,description,Validation SW *,"Tool and Content Requirements: OSBV/SVOS latest, PMON v2.3, Perspec path, PythonSV, Supercollider, register check utilities, synthetic workloads for concurrency and stress.",1.1.1.1
TC,Random Policy Gating of Acode Features Per Thread,description,Ecosystem SW *,"Test Requirements: BIOS with policy gating support, OS kernel with SGX/TDX enabled, subsystem drivers for telemetry, registry keys for policy updates.",1.1.1.1
TC,Random Policy Gating of Acode Features Per Thread,description,Test HW Requirements and HW Configuration *,"SoC stepping with policy gating support, platform with all threads enabled, DIMMs and PCIe devices as per test plan, thermal solution for normal operation, debug instrumentation for telemetry, power measurement setup.",1.1.1.1
TC,Real-Time Policy Update and Feature Gating Validation,description,TC Description *,Update policy field in CORE_PMA_CR_TELEM_UCODE_INFO_THREAD_x for all threads during runtime. Observe that Acode features are gated/ungated in real-time as policy changes. Verify that HGS remains controlled by its knob.,1.1.1.2
TC,Real-Time Policy Update and Feature Gating Validation,description,Test Steps *,"1. Boot system and enable all threads. 2. Set initial policy field values. 3. During runtime, change policy field values for each thread. 4. Monitor Acode feature status for each thread after each update. 5. Check HGS feature control via knob. 6. Log feature status and compare to policy.",1.1.1.2
TC,Real-Time Policy Update and Feature Gating Validation,description,Pass/Fail Criteria &amp; HW Errors *,Pass if Acode features respond to policy changes in real-time for all threads; fail if any feature lags or does not match policy. HW errors if policy update is not reflected.,1.1.1.2
TC,Real-Time Policy Update and Feature Gating Validation,description,Intent Verify *,Use PMON and logs to verify real-time feature gating and policy update reflection.,1.1.1.2
TC,Real-Time Policy Update and Feature Gating Validation,description,Validation Automation Global Checkers *,"Enable SST, Central, and Concurrency checkers. PVT checkers for real-time policy update.",1.1.1.2
TC,Real-Time Policy Update and Feature Gating Validation,description,Validation SW *,"Tool and Content Requirements: OSBV/SVOS, PMON v2.3, Perspec path, PythonSV, Supercollider, register check utilities.",1.1.1.2
TC,Real-Time Policy Update and Feature Gating Validation,description,Ecosystem SW *,"Test Requirements: BIOS with real-time policy update support, OS kernel with SGX/TDX, telemetry drivers.",1.1.1.2
TC,Real-Time Policy Update and Feature Gating Validation,description,Test HW Requirements and HW Configuration *,"SoC with real-time policy update capability, platform with all threads, debug instrumentation, power measurement setup.",1.1.1.2
TC,HGS Feature Dedicated Knob Control Validation,description,TC Description *,Independently control HGS feature using its dedicated knob while other Acode features are gated by policy. Verify that HGS is not affected by policy field and only responds to its knob.,1.1.1.3
TC,HGS Feature Dedicated Knob Control Validation,description,Test Steps *,1. Boot system and enable all threads. 2. Set policy field to enable/disable all Acode features except HGS. 3. Toggle HGS feature using its dedicated knob. 4. Monitor HGS status and ensure it is independent of policy field. 5. Log HGS and other feature statuses.,1.1.1.3
TC,HGS Feature Dedicated Knob Control Validation,description,Pass/Fail Criteria &amp; HW Errors *,Pass if HGS feature is controlled only by its knob and not by policy field; fail if HGS responds to policy field or does not respond to knob.,1.1.1.3
TC,HGS Feature Dedicated Knob Control Validation,description,Intent Verify *,Use logs and PMON to confirm HGS feature control is independent and matches knob setting.,1.1.1.3
TC,HGS Feature Dedicated Knob Control Validation,description,Validation Automation Global Checkers *,"Enable SST, Central, and Concurrency checkers. PVT checkers for HGS knob control.",1.1.1.3
TC,HGS Feature Dedicated Knob Control Validation,description,Validation SW *,"Tool and Content Requirements: OSBV/SVOS, PMON v2.3, Perspec path, PythonSV, Supercollider, register check utilities.",1.1.1.3
TC,HGS Feature Dedicated Knob Control Validation,description,Ecosystem SW *,"Test Requirements: BIOS with HGS knob support, OS kernel with SGX/TDX, telemetry drivers.",1.1.1.3
TC,HGS Feature Dedicated Knob Control Validation,description,Test HW Requirements and HW Configuration *,"SoC with HGS knob, platform with all threads, debug instrumentation, power measurement setup.",1.1.1.3
TCD,SBFT@F Flow Policy Gating and Break Event Prioritization (Thermal > Throttle > Normal),description,Description *,Validate SBFT@F flow break event prioritization and correct break reason update in CORE_PMA_CR_IO_TAF_CFG_STATUS[31:24].,1.1.2
TCD,SBFT@F Flow Policy Gating and Break Event Prioritization (Thermal > Throttle > Normal),description,Algorithm of Testing *,"Inject thermal, throttle hammer, and normal exit events during SBFT@F flows and monitor break reason updates.",1.1.2
TCD,SBFT@F Flow Policy Gating and Break Event Prioritization (Thermal > Throttle > Normal),description,Randomization *,"Random selection and timing of break event injection during SBFT@F-Entry, SBFT@F-Next, and SBFT@F-Exit flows.",1.1.2
TCD,SBFT@F Flow Policy Gating and Break Event Prioritization (Thermal > Throttle > Normal),description,Required Configurations and Dependencies *,"Requires U2A mailbox access, throttle/thermal event injection capability, and break reason monitoring.",1.1.2
TCD,SBFT@F Flow Policy Gating and Break Event Prioritization (Thermal > Throttle > Normal),description,Cross-Feature Interaction *,"Acode interacts with throttle/thermal status bits, updates break reason, and triggers SBFT-Exit; HW throttle hammer triggers LFM-AGV.",1.1.2
TCD,SBFT@F Flow Policy Gating and Break Event Prioritization (Thermal > Throttle > Normal),description,DFx Requirements *,"HW infrastructure for event injection, break reason reporting, and real-time status monitoring.",1.1.2
TC,Thermal Event Injection and Break Reason Prioritization,description,TC Description *,Inject a thermal event during SBFT@F flow and monitor that break reason in CORE_PMA_CR_IO_TAF_CFG_STATUS[31:24] is set to SBFT_BREAK_TYPE_POWER_BUDGET_THERMAL_E. Verify that SBFT@F flow aborts as per event priority.,1.1.2.1
TC,Thermal Event Injection and Break Reason Prioritization,description,Test Steps *,"1. Boot module and prepare for SBFT@F test. 2. Start SBFT@F via U2A mailbox. 3. Inject thermal event during SBFT@F-Entry, Next, or Exit. 4. Monitor throttle/thermal status bits. 5. Observe break reason update in register. 6. Confirm SBFT@F flow aborts.",1.1.2.1
TC,Thermal Event Injection and Break Reason Prioritization,description,Pass/Fail Criteria &amp; HW Errors *,Pass if break reason is SBFT_BREAK_TYPE_POWER_BUDGET_THERMAL_E and SBFT@F flow aborts; fail if break reason is incorrect or flow does not abort.,1.1.2.1
TC,Thermal Event Injection and Break Reason Prioritization,description,Intent Verify *,"Use logs, PMON, and Visa to confirm break reason and flow behavior.",1.1.2.1
TC,Thermal Event Injection and Break Reason Prioritization,description,Validation Automation Global Checkers *,"Enable SST, Central, and Concurrency checkers. PVT checkers for thermal event handling.",1.1.2.1
TC,Thermal Event Injection and Break Reason Prioritization,description,Validation SW *,"Tool and Content Requirements: OSBV/SVOS, PMON v2.3, Perspec path, PythonSV, Supercollider, register check utilities.",1.1.2.1
TC,Thermal Event Injection and Break Reason Prioritization,description,Ecosystem SW *,"Test Requirements: BIOS with SBFT@F and event injection support, OS kernel with event handling, subsystem drivers for status bits.",1.1.2.1
TC,Thermal Event Injection and Break Reason Prioritization,description,Test HW Requirements and HW Configuration *,"SoC with SBFT@F and event injection capability, platform with module idle, debug instrumentation, power measurement setup.",1.1.2.1
TC,Throttle Hammer Event Injection and Break Reason Validation,description,TC Description *,"Inject throttle hammer event before or during SBFT@F flow. Monitor that break reason is set to SBFT_BREAK_TYPE_POWER_BUDGET_THERMAL_E if thermal event occurs, otherwise to THROTTLE. Verify SBFT@F flow aborts or completes as per event.",1.1.2.2
TC,Throttle Hammer Event Injection and Break Reason Validation,description,Test Steps *,1. Boot module and prepare for SBFT@F test. 2. Start SBFT@F via U2A mailbox. 3. Inject throttle hammer event before SBFT@F entry or during SBFT@F. 4. Monitor throttle-events-status and throttle-event-sticky bits. 5. Observe break reason update in register. 6. Confirm SBFT@F flow aborts or completes.,1.1.2.2
TC,Throttle Hammer Event Injection and Break Reason Validation,description,Pass/Fail Criteria &amp; HW Errors *,Pass if break reason is THROTTLE (unless thermal event occurs) and SBFT@F flow aborts; fail if break reason is incorrect or flow does not abort.,1.1.2.2
TC,Throttle Hammer Event Injection and Break Reason Validation,description,Intent Verify *,"Use logs, PMON, and Visa to confirm break reason and flow behavior.",1.1.2.2
TC,Throttle Hammer Event Injection and Break Reason Validation,description,Validation Automation Global Checkers *,"Enable SST, Central, and Concurrency checkers. PVT checkers for throttle hammer event handling.",1.1.2.2
TC,Throttle Hammer Event Injection and Break Reason Validation,description,Validation SW *,"Tool and Content Requirements: OSBV/SVOS, PMON v2.3, Perspec path, PythonSV, Supercollider, register check utilities.",1.1.2.2
TC,Throttle Hammer Event Injection and Break Reason Validation,description,Ecosystem SW *,"Test Requirements: BIOS with SBFT@F and event injection support, OS kernel with event handling, subsystem drivers for status bits.",1.1.2.2
TC,Throttle Hammer Event Injection and Break Reason Validation,description,Test HW Requirements and HW Configuration *,"SoC with SBFT@F and event injection capability, platform with module idle, debug instrumentation, power measurement setup.",1.1.2.2
TC,Normal SBFT@F Completion and Break Reason Validation,description,TC Description *,Run SBFT@F test to normal completion without injecting break events. Monitor that break reason in CORE_PMA_CR_IO_TAF_CFG_STATUS[31:24] is set to normal. Verify SBFT@F flow completes as expected.,1.1.2.3
TC,Normal SBFT@F Completion and Break Reason Validation,description,Test Steps *,1. Boot module and prepare for SBFT@F test. 2. Start SBFT@F via U2A mailbox. 3. Allow SBFT@F to run to completion without event injection. 4. Monitor break reason update in register. 5. Confirm SBFT@F flow completes normally.,1.1.2.3
TC,Normal SBFT@F Completion and Break Reason Validation,description,Pass/Fail Criteria &amp; HW Errors *,Pass if break reason is normal and SBFT@F flow completes; fail if break reason is incorrect or flow does not complete.,1.1.2.3
TC,Normal SBFT@F Completion and Break Reason Validation,description,Intent Verify *,"Use logs, PMON, and Visa to confirm break reason and flow behavior.",1.1.2.3
TC,Normal SBFT@F Completion and Break Reason Validation,description,Validation Automation Global Checkers *,"Enable SST, Central, and Concurrency checkers. PVT checkers for normal completion.",1.1.2.3
TC,Normal SBFT@F Completion and Break Reason Validation,description,Validation SW *,"Tool and Content Requirements: OSBV/SVOS, PMON v2.3, Perspec path, PythonSV, Supercollider, register check utilities.",1.1.2.3
TC,Normal SBFT@F Completion and Break Reason Validation,description,Ecosystem SW *,"Test Requirements: BIOS with SBFT@F support, OS kernel with event handling, subsystem drivers for status bits.",1.1.2.3
TC,Normal SBFT@F Completion and Break Reason Validation,description,Test HW Requirements and HW Configuration *,"SoC with SBFT@F capability, platform with module idle, debug instrumentation, power measurement setup.",1.1.2.3
TCD,Module-Level Ownership and Prioritization of Break Events During SAF and SBFT Flows,description,Description *,"Validate module-level ownership and prioritization of break events during SAF and SBFT flows, ensuring correct break reason update and module-level scope.",1.1.3
TCD,Module-Level Ownership and Prioritization of Break Events During SAF and SBFT Flows,description,Algorithm of Testing *,"Inject S1/S5 CPD, throttle hammer, and thermal events in random order and timing during SAF/SBFT flows; monitor break reason and module-level exit behavior.",1.1.3
TCD,Module-Level Ownership and Prioritization of Break Events During SAF and SBFT Flows,description,Randomization *,Random injection order and timing of break events during test execution.,1.1.3
TCD,Module-Level Ownership and Prioritization of Break Events During SAF and SBFT Flows,description,Required Configurations and Dependencies *,"Requires access to SAF/SBFT flow controls, event injection capability, and break reason monitoring.",1.1.3
TCD,Module-Level Ownership and Prioritization of Break Events During SAF and SBFT Flows,description,Cross-Feature Interaction *,"Acode and PM handle break events, update break reason, and enforce module-level scope; all active cores exit together.",1.1.3
TCD,Module-Level Ownership and Prioritization of Break Events During SAF and SBFT Flows,description,DFx Requirements *,"HW infrastructure for event injection, break reason reporting, and module-level control.",1.1.3
TC,Thermal Event Injection During SAF/SBFT and Module-Level Exit Validation,description,TC Description *,Inject a thermal event during SAF or SBFT flow. Monitor that break reason in CORE_PMA_CR_IO_TAF_CFG_STATUS[15:8] or [31:24] is set to thermal. Verify that all active cores exit test together and break reason is updated once per module.,1.1.3.1
TC,Thermal Event Injection During SAF/SBFT and Module-Level Exit Validation,description,Test Steps *,1. Boot module and start SAF or SBFT flow. 2. Inject thermal event during test execution. 3. Monitor status and sticky bits. 4. Observe break reason update in register. 5. Confirm all active cores exit test together. 6. Log exit behavior and break reason.,1.1.3.1
TC,Thermal Event Injection During SAF/SBFT and Module-Level Exit Validation,description,Pass/Fail Criteria &amp; HW Errors *,Pass if break reason is thermal and all active cores exit together; fail if break reason is incorrect or exit is not module-level.,1.1.3.1
TC,Thermal Event Injection During SAF/SBFT and Module-Level Exit Validation,description,Intent Verify *,"Use logs, PMON, and Visa to confirm break reason and module-level exit.",1.1.3.1
TC,Thermal Event Injection During SAF/SBFT and Module-Level Exit Validation,description,Validation Automation Global Checkers *,"Enable SST, Central, and Concurrency checkers. PVT checkers for thermal event handling.",1.1.3.1
TC,Thermal Event Injection During SAF/SBFT and Module-Level Exit Validation,description,Validation SW *,"Tool and Content Requirements: OSBV/SVOS, PMON v2.3, Perspec path, PythonSV, Supercollider, register check utilities.",1.1.3.1
TC,Thermal Event Injection During SAF/SBFT and Module-Level Exit Validation,description,Ecosystem SW *,"Test Requirements: BIOS with SAF/SBFT and event injection support, OS kernel with event handling, subsystem drivers for status bits.",1.1.3.1
TC,Thermal Event Injection During SAF/SBFT and Module-Level Exit Validation,description,Test HW Requirements and HW Configuration *,"SoC with SAF/SBFT and event injection capability, platform with all active cores, debug instrumentation, power measurement setup.",1.1.3.1
TC,Throttle Hammer and CPD Event Injection with Prioritization Validation,description,TC Description *,Inject throttle hammer and CPD events during SAF or SBFT flow in random order. Monitor that break reason reflects highest priority event (thermal &gt; throttle &gt; CPD/normal) and module-level scope is enforced.,1.1.3.2
TC,Throttle Hammer and CPD Event Injection with Prioritization Validation,description,Test Steps *,1. Boot module and start SAF or SBFT flow. 2. Inject throttle hammer and CPD events in random order during test execution. 3. Monitor status and sticky bits. 4. Observe break reason update in register. 5. Confirm all active cores exit test together. 6. Log exit behavior and break reason.,1.1.3.2
TC,Throttle Hammer and CPD Event Injection with Prioritization Validation,description,Pass/Fail Criteria &amp; HW Errors *,Pass if break reason reflects highest priority event and module-level exit occurs; fail if break reason is incorrect or exit is not module-level.,1.1.3.2
TC,Throttle Hammer and CPD Event Injection with Prioritization Validation,description,Intent Verify *,"Use logs, PMON, and Visa to confirm break reason prioritization and module-level exit.",1.1.3.2
TC,Throttle Hammer and CPD Event Injection with Prioritization Validation,description,Validation Automation Global Checkers *,"Enable SST, Central, and Concurrency checkers. PVT checkers for event prioritization.",1.1.3.2
TC,Throttle Hammer and CPD Event Injection with Prioritization Validation,description,Validation SW *,"Tool and Content Requirements: OSBV/SVOS, PMON v2.3, Perspec path, PythonSV, Supercollider, register check utilities.",1.1.3.2
TC,Throttle Hammer and CPD Event Injection with Prioritization Validation,description,Ecosystem SW *,"Test Requirements: BIOS with SAF/SBFT and event injection support, OS kernel with event handling, subsystem drivers for status bits.",1.1.3.2
TC,Throttle Hammer and CPD Event Injection with Prioritization Validation,description,Test HW Requirements and HW Configuration *,"SoC with SAF/SBFT and event injection capability, platform with all active cores, debug instrumentation, power measurement setup.",1.1.3.2
TC,Negative Testing: Multiple Break Events and Module-Level Scope Enforcement,description,TC Description *,"Inject multiple break events (thermal, throttle, CPD) simultaneously during SAF or SBFT flow. Monitor that only the highest priority event is reflected in break reason and module-level scope is enforced.",1.1.3.3
TC,Negative Testing: Multiple Break Events and Module-Level Scope Enforcement,description,Test Steps *,1. Boot module and start SAF or SBFT flow. 2. Inject multiple break events simultaneously during test execution. 3. Monitor status and sticky bits. 4. Observe break reason update in register. 5. Confirm all active cores exit test together. 6. Log exit behavior and break reason.,1.1.3.3
TC,Negative Testing: Multiple Break Events and Module-Level Scope Enforcement,description,Pass/Fail Criteria &amp; HW Errors *,Pass if break reason reflects highest priority event and module-level exit occurs; fail if lower priority event is reflected or exit is not module-level.,1.1.3.3
TC,Negative Testing: Multiple Break Events and Module-Level Scope Enforcement,description,Intent Verify *,"Use logs, PMON, and Visa to confirm break reason prioritization and module-level exit.",1.1.3.3
TC,Negative Testing: Multiple Break Events and Module-Level Scope Enforcement,description,Validation Automation Global Checkers *,"Enable SST, Central, and Concurrency checkers. PVT checkers for negative testing.",1.1.3.3
TC,Negative Testing: Multiple Break Events and Module-Level Scope Enforcement,description,Validation SW *,"Tool and Content Requirements: OSBV/SVOS, PMON v2.3, Perspec path, PythonSV, Supercollider, register check utilities.",1.1.3.3
TC,Negative Testing: Multiple Break Events and Module-Level Scope Enforcement,description,Ecosystem SW *,"Test Requirements: BIOS with SAF/SBFT and event injection support, OS kernel with event handling, subsystem drivers for status bits.",1.1.3.3
TC,Negative Testing: Multiple Break Events and Module-Level Scope Enforcement,description,Test HW Requirements and HW Configuration *,"SoC with SAF/SBFT and event injection capability, platform with all active cores, debug instrumentation, power measurement setup.",1.1.3.3
TCD,Policy Gating and Ownership in Lockstep and Non-Lockstep SBFT@F Flows,description,Description *,"Validate policy gating and ownership in SBFT@F flows for lockstep and non-lockstep modes, ensuring mutual exclusivity and correct break reason update.",1.1.4
TCD,Policy Gating and Ownership in Lockstep and Non-Lockstep SBFT@F Flows,description,Algorithm of Testing *,"Randomly configure static lockstep (CONFIG_5) enabled/disabled, run SBFT@F tests in both modes, inject break events, and monitor module-level status and exit behavior.",1.1.4
TCD,Policy Gating and Ownership in Lockstep and Non-Lockstep SBFT@F Flows,description,Randomization *,Random configuration of lockstep mode and break event injection during SBFT@F tests.,1.1.4
TCD,Policy Gating and Ownership in Lockstep and Non-Lockstep SBFT@F Flows,description,Required Configurations and Dependencies *,"Requires access to CONFIG_5, SBFT@F flow controls, event injection capability, and break reason monitoring.",1.1.4
TCD,Policy Gating and Ownership in Lockstep and Non-Lockstep SBFT@F Flows,description,Cross-Feature Interaction *,Lockstep and SBFT@F are mutually exclusive; only one SBFT status per module; break events prioritized and module-level scope enforced.,1.1.4
TCD,Policy Gating and Ownership in Lockstep and Non-Lockstep SBFT@F Flows,description,DFx Requirements *,"HW infrastructure for lockstep configuration, SBFT@F flow control, event injection, and break reason reporting.",1.1.4
TC,Lockstep Mode SBFT@F Flow and Ownership Validation,description,TC Description *,"Enable static lockstep via CONFIG_5 and run SBFT@F test. Inject break events (thermal, throttle, CPD) during test. Monitor that both cores exit together and break reason is updated once per module. Verify mutual exclusivity of lockstep and SBFT@F.",1.1.4.1
TC,Lockstep Mode SBFT@F Flow and Ownership Validation,description,Test Steps *,1. Boot module and enable static lockstep via CONFIG_5. 2. Start SBFT@F test via U2A mailbox. 3. Inject break events during test execution. 4. Monitor SBFT status and break reason update. 5. Confirm both cores exit together and only one SBFT status is updated. 6. Log exit behavior and break reason.,1.1.4.1
TC,Lockstep Mode SBFT@F Flow and Ownership Validation,description,Pass/Fail Criteria &amp; HW Errors *,"Pass if both cores exit together, break reason is updated once, and SBFT@F and lockstep are mutually exclusive; fail if any core does not exit or multiple statuses are updated.",1.1.4.1
TC,Lockstep Mode SBFT@F Flow and Ownership Validation,description,Intent Verify *,"Use logs, PMON, and Visa to confirm module-level exit and break reason update.",1.1.4.1
TC,Lockstep Mode SBFT@F Flow and Ownership Validation,description,Validation Automation Global Checkers *,"Enable SST, Central, and Concurrency checkers. PVT checkers for lockstep mode.",1.1.4.1
TC,Lockstep Mode SBFT@F Flow and Ownership Validation,description,Validation SW *,"Tool and Content Requirements: OSBV/SVOS, PMON v2.3, Perspec path, PythonSV, Supercollider, register check utilities.",1.1.4.1
TC,Lockstep Mode SBFT@F Flow and Ownership Validation,description,Ecosystem SW *,"Test Requirements: BIOS with lockstep and SBFT@F support, OS kernel with event handling, subsystem drivers for status bits.",1.1.4.1
TC,Lockstep Mode SBFT@F Flow and Ownership Validation,description,Test HW Requirements and HW Configuration *,"SoC with lockstep and SBFT@F capability, platform with both cores enabled, debug instrumentation, power measurement setup.",1.1.4.1
TC,Non-Lockstep Mode SBFT@F Flow and Ownership Validation,description,TC Description *,"Disable static lockstep via CONFIG_5 and run SBFT@F test. Inject break events (thermal, throttle, CPD) during test. Monitor that only enabled core(s) participate and break reason is updated once per module.",1.1.4.2
TC,Non-Lockstep Mode SBFT@F Flow and Ownership Validation,description,Test Steps *,1. Boot module and disable static lockstep via CONFIG_5. 2. Start SBFT@F test via U2A mailbox. 3. Inject break events during test execution. 4. Monitor SBFT status and break reason update. 5. Confirm only enabled core(s) participate and only one SBFT status is updated. 6. Log exit behavior and break reason.,1.1.4.2
TC,Non-Lockstep Mode SBFT@F Flow and Ownership Validation,description,Pass/Fail Criteria &amp; HW Errors *,"Pass if only enabled core(s) participate, break reason is updated once, and module-level scope is enforced; fail if multiple statuses are updated or disabled core participates.",1.1.4.2
TC,Non-Lockstep Mode SBFT@F Flow and Ownership Validation,description,Intent Verify *,"Use logs, PMON, and Visa to confirm module-level exit and break reason update.",1.1.4.2
TC,Non-Lockstep Mode SBFT@F Flow and Ownership Validation,description,Validation Automation Global Checkers *,"Enable SST, Central, and Concurrency checkers. PVT checkers for non-lockstep mode.",1.1.4.2
TC,Non-Lockstep Mode SBFT@F Flow and Ownership Validation,description,Validation SW *,"Tool and Content Requirements: OSBV/SVOS, PMON v2.3, Perspec path, PythonSV, Supercollider, register check utilities.",1.1.4.2
TC,Non-Lockstep Mode SBFT@F Flow and Ownership Validation,description,Ecosystem SW *,"Test Requirements: BIOS with SBFT@F support, OS kernel with event handling, subsystem drivers for status bits.",1.1.4.2
TC,Non-Lockstep Mode SBFT@F Flow and Ownership Validation,description,Test HW Requirements and HW Configuration *,"SoC with SBFT@F capability, platform with core(s) enabled/disabled as per test, debug instrumentation, power measurement setup.",1.1.4.2
TC,Mutual Exclusivity Enforcement Between Lockstep and SBFT@F,description,TC Description *,Attempt to start SBFT@F test while static lockstep is already active. Verify that SBFT@F cannot be started and ownership is enforced as specified.,1.1.4.3
TC,Mutual Exclusivity Enforcement Between Lockstep and SBFT@F,description,Test Steps *,1. Boot module and enable static lockstep via CONFIG_5. 2. Attempt to start SBFT@F test via U2A mailbox. 3. Monitor SBFT status and break reason update. 4. Confirm SBFT@F does not start and ownership is enforced. 5. Log attempt and outcome.,1.1.4.3
TC,Mutual Exclusivity Enforcement Between Lockstep and SBFT@F,description,Pass/Fail Criteria &amp; HW Errors *,Pass if SBFT@F cannot be started when lockstep is active; fail if SBFT@F starts or ownership is not enforced.,1.1.4.3
TC,Mutual Exclusivity Enforcement Between Lockstep and SBFT@F,description,Intent Verify *,"Use logs, PMON, and Visa to confirm mutual exclusivity and ownership enforcement.",1.1.4.3
TC,Mutual Exclusivity Enforcement Between Lockstep and SBFT@F,description,Validation Automation Global Checkers *,"Enable SST, Central, and Concurrency checkers. PVT checkers for exclusivity enforcement.",1.1.4.3
TC,Mutual Exclusivity Enforcement Between Lockstep and SBFT@F,description,Validation SW *,"Tool and Content Requirements: OSBV/SVOS, PMON v2.3, Perspec path, PythonSV, Supercollider, register check utilities.",1.1.4.3
TC,Mutual Exclusivity Enforcement Between Lockstep and SBFT@F,description,Ecosystem SW *,"Test Requirements: BIOS with lockstep and SBFT@F support, OS kernel with event handling, subsystem drivers for status bits.",1.1.4.3
